#{"t_start": 1775663245.433027, "env_id": "None"}
r,l,t
53.340763,116,347.416559
23,103,339.147368
49.91083,99,342.426326
48.893904,98,342.934616
40.728106,98,343.444651
29.627564,107,344.013638
48.208358,100,344.54031
43.114789,102,345.07917
51.93639,105,345.633534
5.253668,73,346.018125
47.424863,106,346.562485
45.319632,99,347.074106

44.074022,98,345.757962
46.644577,102,346.297568
50.133941,102,346.80514
51.889666,105,347.355875
89,101,334.64257
43.258326,101,335.216583
19.279736,100,335.757123
49.844195,102,336.297495
44.47488,100,336.83278
49.176779,104,337.379923
45.714105,106,337.950782
48.590932,100,338.504516
47.532293,102,339.042816
42.063137,100,342.328814
47.744668,101,342.857704
45.789976,101,343.378263
42.733601,101,343.914887
42.096608,96,344.421084
38.488156,99,344.950727
45.371938,103,345.479122
43.9565,110,346.073007
46.637445,99,346.586639
20.374165,95,347.063833
